exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Rectal,External Exam,Perianal,Perianal inspection,Rectal Core,Left lateral or appropriate position with draping,Inspect anus perianal skin and gluteal cleft for fissure fistula hemorrhoid abscess or prolapse,Set up or position the patient: Left lateral or appropriate position with draping. Perform the maneuver: Inspect anus perianal skin and gluteal cleft for fissure fistula hemorrhoid abscess or prolapse. Assess and document: Fissure hemorrhoid abscess fistula rash or prolapse.,Fissure hemorrhoid abscess fistula rash or prolapse,Screens anorectal pain bleeding infection and skin disease,Perianal inspection,Normal / Hemorrhoid / Fissure / Abscess / Fistula / Prolapse,Rectal pain; bleeding; diarrhea; perianal rash,rectal_external_exam_perianal_perianal_inspection
Rectal,Digital Rectal Exam,Tone,Digital rectal tone,Rectal Core,Explain pressure and ask patient to bear down and squeeze if able,Insert lubricated finger and assess resting tone squeeze and sensation,Set up or position the patient: Explain pressure and ask patient to bear down and squeeze if able. Perform the maneuver: Insert lubricated finger and assess resting tone squeeze and sensation. Assess and document: Reduced tone pain mass stool or blood.,Reduced tone pain mass stool or blood,Screens neurologic tone anorectal mass impaction and bleeding clue,Rectal tone,Normal / Reduced / Increased pain / Mass / Stool / Blood,GI bleed; constipation; spinal cord concern; rectal symptoms,rectal_digital_rectal_exam_tone_digital_rectal_tone
Rectal,Digital Rectal Exam,Prostate,Prostate palpation,Rectal Core,Explain pressure and stop for severe pain,Palpate prostate size symmetry nodules tenderness and bogginess,Set up or position the patient: Explain pressure and stop for severe pain. Perform the maneuver: Palpate prostate size symmetry nodules tenderness and bogginess. Assess and document: Tender boggy enlarged nodular or asymmetric prostate.,Tender boggy enlarged nodular or asymmetric prostate,Screens prostatitis BPH and prostate nodule clue,Prostate palpation,Normal / Enlarged / Tender-boggy / Nodule / Unable,Urinary retention; prostatitis concern; prostate symptoms,rectal_digital_rectal_exam_prostate_prostate_palpation
Rectal,Digital Rectal Exam,Stool,Stool and rectal vault assessment,Rectal Core,Explain purpose and avoid if contraindicated,Assess stool color amount impaction gross blood and rectal vault mass,Set up or position the patient: Explain purpose and avoid if contraindicated. Perform the maneuver: Assess stool color amount impaction gross blood and rectal vault mass. Assess and document: Melena hematochezia impaction empty vault or mass.,Melena hematochezia impaction empty vault or mass,Screens GI bleed constipation obstruction and rectal lesion clue,Rectal stool assessment,Brown / Melena / Hematochezia / Impaction / Empty / Mass,GI bleed; anemia; constipation; obstruction concern,rectal_digital_rectal_exam_stool_stool_and_rectal_vault_assessment
Neuro,Mental Status,Consciousness,Level of consciousness,Neuro Mental Status,Address patient by name and observe arousal,Assess alertness spontaneous eye opening and need for verbal or painful stimulus,Set up or position the patient: Address patient by name and observe arousal. Perform the maneuver: Assess alertness spontaneous eye opening and need for verbal or painful stimulus. Assess and document: Somnolence stupor coma or agitation.,Somnolence stupor coma or agitation,Screens encephalopathy severity and neurologic safety,Level of consciousness,Alert / Drowsy / Somnolent / Stupor / Coma / Agitated,Altered mental status; sepsis; hypoglycemia; stroke,neuro_mental_status_consciousness_level_of_consciousness
Neuro,Mental Status,Orientation,Orientation,Neuro Mental Status,Ask name location date and situation,Score person place time and situation orientation,Set up or position the patient: Ask name location date and situation. Perform the maneuver: Score person place time and situation orientation. Assess and document: Disorientation or fluctuating answers.,Disorientation or fluctuating answers,Screens delirium dementia intoxication and metabolic encephalopathy,Orientation,Oriented x4 / Person only / Place impaired / Time impaired / Situation impaired / Unable,Altered mental status; delirium; cognitive concern,neuro_mental_status_orientation_orientation
Neuro,Mental Status,Attention,Attention and concentration,Neuro Mental Status,Ask patient to spell world backward or recite months backward,Observe ability to sustain and manipulate attention,Set up or position the patient: Ask patient to spell world backward or recite months backward. Perform the maneuver: Observe ability to sustain and manipulate attention. Assess and document: Inattention distractibility or inability to complete task.,Inattention distractibility or inability to complete task,Screens delirium and encephalopathy,Attention,Intact / Mildly impaired / Severely impaired / Unable,Delirium; encephalopathy; medication toxicity,neuro_mental_status_attention_attention_and_concentration
Neuro,Mental Status,Language,Speech fluency and comprehension,Neuro Mental Status,Ask patient to describe a scene follow a command and repeat a phrase,Assess fluency comprehension repetition and naming,Set up or position the patient: Ask patient to describe a scene follow a command and repeat a phrase. Perform the maneuver: Assess fluency comprehension repetition and naming. Assess and document: Aphasia dysarthria word-finding difficulty or poor comprehension.,Aphasia dysarthria word-finding difficulty or poor comprehension,Screens cortical language deficit stroke and delirium clue,Speech and language,Normal / Aphasia / Dysarthria / Word-finding / Poor comprehension / Unable,Stroke; aphasia; altered mental status,neuro_mental_status_language_speech_fluency_and_comprehension
Neuro,Mental Status,Memory,Immediate and delayed recall,Neuro Mental Status,Give three unrelated words and ask recall immediately and after delay,Record immediate registration and delayed recall,Set up or position the patient: Give three unrelated words and ask recall immediately and after delay. Perform the maneuver: Record immediate registration and delayed recall. Assess and document: Impaired registration or delayed recall.,Impaired registration or delayed recall,Screens cognitive impairment delirium and memory deficit,Memory recall,3 of 3 / 2 of 3 / 1 of 3 / 0 of 3 / Unable,Cognitive concern; delirium; dementia screen,neuro_mental_status_memory_immediate_and_delayed_recall
Neuro,Mental Status,Neglect,Visual or sensory neglect,Neuro Mental Status,Ask patient to attend to both sides,Test double simultaneous visual or tactile stimulation,Set up or position the patient: Ask patient to attend to both sides. Perform the maneuver: Test double simultaneous visual or tactile stimulation. Assess and document: Extinction or neglect of one side.,Extinction or neglect of one side,Screens parietal cortical deficit and stroke localization,Neglect extinction,Absent / Right neglect / Left neglect / Bilateral inattention / Unable,Stroke; focal neurologic deficit; trauma,neuro_mental_status_neglect_visual_or_sensory_neglect
Neuro,Mental Status,Mood and Affect,Mood and affect,Neuro Mental Status,Ask mood and observe affect range congruence and reactivity,Assess affect intensity lability and congruence,Set up or position the patient: Ask mood and observe affect range congruence and reactivity. Perform the maneuver: Assess affect intensity lability and congruence. Assess and document: Flat labile anxious depressed or incongruent affect.,Flat labile anxious depressed or incongruent affect,Screens psychiatric and delirium context affecting exam reliability,Mood affect,Euthymic / Depressed / Anxious / Labile / Flat / Unable,Behavioral concern; delirium; depression; anxiety,neuro_mental_status_mood_and_affect_mood_and_affect
Neuro,Mental Status,Thought,Thought process and content,Neuro Mental Status,Ask open-ended questions and listen for organization,Assess linearity delusions hallucinations and safety concerns,Set up or position the patient: Ask open-ended questions and listen for organization. Perform the maneuver: Assess linearity delusions hallucinations and safety concerns. Assess and document: Tangential disorganized delusional or hallucination clue.,Tangential disorganized delusional or hallucination clue,Screens psychosis delirium intoxication and safety risk,Thought process,Linear / Tangential / Disorganized / Delusional / Hallucinations / Unable,Altered behavior; psychosis; delirium; intoxication,neuro_mental_status_thought_thought_process_and_content
Neuro,Cranial Nerves,CN I,Olfaction screen,Neuro Cranial Nerves,Close one nostril and identify familiar nonirritating odor,Test each nostril separately if safe,Set up or position the patient: Close one nostril and identify familiar nonirritating odor. Perform the maneuver: Test each nostril separately if safe. Assess and document: Reduced or asymmetric smell.,Reduced or asymmetric smell,Screens CN I dysfunction and sinonasal or frontal lobe clue,Olfaction,Intact / Reduced right / Reduced left / Absent / Unable,Smell loss; head trauma; neuro exam,neuro_cranial_nerves_cn_i_olfaction_screen
Neuro,Cranial Nerves,CN V VII,Corneal reflex,Neuro Cranial Nerves,Look away and avoid contact lens if present,Touch cornea lightly from side with cotton wisp only when indicated,Set up or position the patient: Look away and avoid contact lens if present. Perform the maneuver: Touch cornea lightly from side with cotton wisp only when indicated. Assess and document: Absent blink or asymmetric response.,Absent blink or asymmetric response,Screens trigeminal afferent and facial efferent reflex,Corneal reflex,Present bilateral / Absent right / Absent left / Deferred / Unable,Coma; brainstem concern; facial nerve concern,neuro_cranial_nerves_cn_v_vii_corneal_reflex
Neuro,Cranial Nerves,CN IX X,Gag reflex,Neuro Cranial Nerves,Open mouth and warn about gagging,Touch posterior pharynx only if clinically indicated,Set up or position the patient: Open mouth and warn about gagging. Perform the maneuver: Touch posterior pharynx only if clinically indicated. Assess and document: Absent gag or asymmetric palate response.,Absent gag or asymmetric palate response,Screens pharyngeal sensation and vagal motor response,Gag reflex,Present / Absent / Deferred / Unable,Brainstem concern; dysphagia; aspiration risk,neuro_cranial_nerves_cn_ix_x_gag_reflex
Neuro,Motor,Tone,Muscle tone,Neuro Motor,Relax limb completely,Move limb passively through range at different speeds,Set up or position the patient: Relax limb completely. Perform the maneuver: Move limb passively through range at different speeds. Assess and document: Spasticity rigidity flaccidity or paratonia.,Spasticity rigidity flaccidity or paratonia,Screens upper motor neuron basal ganglia and peripheral weakness patterns,Muscle tone,Normal / Spastic / Rigid / Flaccid / Paratonia / Unable,Weakness; parkinsonism; stroke; spinal cord concern,neuro_motor_tone_muscle_tone
